47.88 8.39 49.29 6.31 -37.27 304.84

11.42 -46.21 -5.55 -15.94 25.05 -168.82

17.83 9.05 24.55 -42.49 37.12 196.37

41.77 -49.0 -42.52 37.32 -14.91 -296.75

34.34 -0.67 24.9 35.26 17.59 55.59

-28.96 4.09 -6.88 4.04 -34.56 -32.72

-23.17 0.47 -49.65 4.99 -40.52 -159.87

18.5 3.52 12.81 -12.6 22.09 95.62

-40.74 18.89 14.72 39.46 -5.07 -32.61

36.4 9.97 -17.5 14.82 31.89 1.65

-10.68 43.39 -46.81 21.74 38.09 -66.8

-6.63 12.24 2.12 25.18 12.23 -17.53

26.23 -27.75 11.74 -35.02 -49.45 99.17

-17.96 11.44 18.97 46.5 38.94 -62.19

-37.66 -33.32 -41.71 10.6 -25.12 -326.81

-43.17 -43.6 15.14 -30.36 -5.54 -146.06

13.33 -28.82 18.21 -18.66 30.32 -23.99

43.72 -35.31 20.08 1.46 -21.91 28.43

44.75 29.66 44.29 -8.79 28.3 333.29

17.46 -15.67 11.73 -30.42 -6.46 77.73

-39.54 -24.4 27.97 44.51 6.6 -185.39

-46.91 -10.69 -39.06 11.68 32.68 -306.8

20.8 15.48 -42.59 -6.13 36.45 -45.44

38.68 46.34 -23.5 -26.63 -29.04 277.52

18.1 -3.42 45.63 21.24 -14.48 134.41

15.58 34.41 2.68 -0.21 -0.34 180.6

19.19 -7.79 20.44 -10.43 -44.7 137.1

39.25 16.42 -4.56 36.63 -23.72 83.96

-33.15 -38.13 3.72 -29.61 -23.77 -121.67

-1.69 -35.6 39.15 -15.19 35.39 -30.34

-24.62 -20.26 -23.71 -25.58 -14.57 -132.68

-41.63 -46.36 11.47 -28.28 49.17 -223.9

45.42 -24.51 6.33 34.71 -23.57 -31.06

3.5 -35.4 37.74 -13.88 44.66 -35.28

4.24 33.43 -9.79 -15.68 6.12 141.07

-5.28 25.76 49.81 -48.75 -34.72 377.13

-29.99 -18.62 -25.8 20.88 7.62 -258.24

11.73 12.7 -44.51 -37.4 -13.08 31.61

0.24 -47.65 5.95 -15.97 -27.88 -109.45

-29.91 -5.22 2.74 13.65 45.86 -142.64

-5.26 -48.69 35.07 -13.64 -35.6 -34.19

-7.4 25.8 30.21 -29.59 36.41 204.8

-7.27 23.3 48.65 -3.36 49.9 184.43

-33.25 -33.48 37.2 -48.07 6.48 3.84

44.49 -5.59 5.73 -34.3 20.02 135.39

11.5 -36.68 20.88 -21.05 -15.87 -0.11

5.16 21.9 36.26 36.02 48.66 89.0

37.64 38.75 18.75 -3.66 28.24 268.61

19.52 26.66 -3.58 -38.09 18.49 195.63

0.81 -46.69 -30.06 9.87 -44.89 -247.17

6.42 14.24 -47.26 -42.37 42.58 -26.82

-23.62 -47.76 0.7 -21.46 -36.75 -153.51

-29.51 38.81 -8.28 -12.33 10.8 88.24

-30.38 39.6 16.43 -2.33 -35.55 190.14

4.49 23.52 -19.78 15.97 -47.73 62.51

11.59 18.88 -29.73 1.66 2.57 6.62

-37.57 -27.06 43.77 25.54 31.87 -132.02

3.95 30.82 -41.82 5.34 -12.8 10.84

-48.0 19.37 33.45 12.12 -44.28 104.87

4.21 11.32 47.6 -0.82 -25.34 226.48

-28.68 40.48 -48.58 -7.9 23.66 -46.04

13.51 12.59 -41.46 -4.91 -12.11 -22.07

-17.8 -41.55 21.67 -20.37 -33.58 -59.47

35.28 43.1 -35.81 5.56 -47.47 174.88

21.7 35.48 33.99 10.35 20.22 249.37

-25.71 -49.99 -40.34 -18.93 18.13 -349.67

7.36 -4.59 -0.79 0.25 -31.27 27.76

28.74 -46.17 26.61 41.5 49.91 -177.28

26.32 13.89 35.67 40.11 4.07 133.92

13.71 47.81 -43.81 -5.27 -20.82 121.59

48.73 43.25 -1.73 -6.05 29.54 250.83

-32.95 5.23 7.18 -47.42 31.54 42.86

-48.25 -30.88 -20.82 -36.54 -49.95 -156.45

-5.01 28.32 48.37 -32.51 9.4 306.99

-2.99 -16.56 -35.77 46.62 -25.8 -243.97

22.96 27.64 17.01 -1.49 -7.12 220.61

-37.53 15.33 -41.24 -11.92 -21.23 -89.39

32.23 47.86 -30.95 -37.64 2.35 238.98

37.73 -10.9 -11.29 -34.74 13.4 57.07

5.07 10.26 37.4 -45.75 -38.97 296.85

-30.47 -39.56 32.24 26.04 -41.8 -129.74

-42.63 23.08 17.05 49.31 -42.0 4.59

-7.99 -16.91 27.72 1.39 -23.55 23.31

15.41 -43.25 11.22 -48.24 -16.42 7.38

-28.29 46.56 -15.54 1.23 -27.3 110.88

-31.97 11.37 -21.9 -4.02 43.88 -117.0

-22.06 47.88 32.44 23.22 38.96 162.32

